,genes,values
378,CYTH3,0.010116421
379,DYNC1LI2,1.3687232
380,CES1,-0.08393673
381,HYAL4,1.3107189
382,GALNT5,-7.731798
383,DHX38,0.27441463
384,ACSM6,0.2662297
385,GSTT2B,-5.428659
386,PNPLA3,-4.8316917
387,CD7,2.7021267
388,LRRC4,-3.004846
389,FMO4,6.546616
390,GNB4,4.6810827
391,RILP,-0.26545396
392,RPL6,-0.0044469084
393,PRKCQ,7.084982
394,RPS14,0.19626845
395,RAET1L,-0.9811408
396,STAR,0.50897646
397,GLCE,-2.1492283
398,ATF6,-6.208915
399,ATXN1L,-0.6074556
400,NPAS2,3.770674
401,NDUFA9,-10.284049
402,LLGL1,1.2780348
403,RIF1,-3.037427
404,PLIN5,0.48880258
405,PDE3A,-3.645627
406,PCLO,-0.13131055
407,DOCK1,-3.9916275
408,ARHGAP5,-5.473487
409,VANGL2,-0.093839854
410,GALNT16,0.7480329
411,ANAPC1,-7.7982583
412,PGLS,-1.3807678
413,ATP6V1B1,1.1419524
414,LBP,-1.7796527
415,POLD4,-5.408874
416,TLE2,0.37397626
417,IL19,-0.32834128
418,KRT36,0.057151563
419,EME1,6.0454
420,NCOA3,2.1253898
421,MGAT5B,-2.1023126
422,CHRNB4,2.2281384
423,UQCRQ,-9.056493
424,IBSP,6.9357057
425,COL8A2,-1.094321
426,BARD1,3.3751855
427,COL1A1,4.774945
428,WNT3A,15.007216
429,ABL2,1.7314978
430,ARHGAP35,4.3123803
431,XRCC2,-2.6451561
432,CLDN23,-1.0364673
433,B3GAT1,2.4478843
434,ERC1,0.25809932
435,ASAP2,1.9267544
436,UNC5C,2.9241273
437,GAST,0.23655878
438,NDUFS5,-2.9742515
439,COL4A4,7.6416154
440,PHKB,1.2860297
441,ZNF250,-0.903392
442,NMU,-1.1382344
443,NEFM,7.4144692
444,IGF2BP1,2.5994
445,FMO2,5.3844666
446,KLRC1,-2.3924193
447,SIN3A,-1.5980793
448,ELN,-1.3999645
449,CDK5R1,-2.868558
450,DARS2,2.3039436
451,TIAM1,-4.362518
452,RPS25,-0.48853314
453,BLK,0.3456499
454,RPL9,0.41349813
455,GTF2A1,0.2667099
456,OSMR,-9.150907
457,SERPIND1,4.8112836
458,AXIN2,6.7060323
459,EMG1,-0.5522877
460,SLC44A5,-0.48360342
461,PRKAR2B,-0.40642333
462,RPL37A,0.43875653
463,GNL3L,0.36110398
464,NTRK2,1.3387847
465,PDXP,1.0374202
466,PIGR,-0.02242259
467,ADCYAP1R1,-3.1117654
468,IL36G,1.1717993
469,PDE8B,-0.62341684
470,CSF3,0.9328584
471,VAPB,-6.742823
472,DPM3,9.856407
473,FNIP2,3.469928
474,NR4A3,3.4671798
475,RPS10,0.08114298
476,SLC27A6,-2.6970282
477,ALG11,-9.831181
478,ELOVL7,-1.9445741
479,MTHFS,-1.7387573
480,CCDC12,-0.045147244
481,CNTFR,-0.064270325
482,PRDX5,0.24156289
483,CLCA2,-0.75742626
484,SNRPD2,-0.054638106
485,POPDC3,3.35921
486,STK4,-9.077108
487,COL11A1,0.17329136
488,NLN,0.84217936
489,AURKA,6.3645954
490,NDUFA7,12.675803
491,EZH2,9.147227
492,OGDHL,-0.17747967
493,FAU,-0.0018502038
494,IFNE,2.5563438
495,ACAA1,-11.1305895
496,RPS3,3.9167435
497,RRAGD,-3.4055064
498,RPL37,-0.05691222
499,SGK3,-6.421471
500,CCL14,0.6716852
501,MYL5,-13.297202
502,ITGA11,-0.6893522
503,ABCA9,0.13980964
504,WNT10A,-6.357061
505,FKTN,-0.6208389
506,FOSB,-1.3750464
507,HS3ST5,1.0317284
508,ADAM17,1.1151441
509,RPSA,0.30667502
510,KMT2E,2.1159732
511,MSI1,1.2960963
512,CHMP2A,1.5831866
513,CTSE,-1.6780537
514,PWP2,0.11647286
515,RPL38,-0.2514986
516,RPL24,0.031945523
517,EDN2,1.7345952
518,FANCI,2.4724321
519,DNM3,-5.7011614
520,CST4,0.39903462
521,GPX8,5.267075
522,THPO,7.1871276
523,MYH10,2.5609307
524,ACVR1C,3.700476
525,CCR3,-0.86011666
526,IL22RA2,0.51066035
527,SERPINA5,-9.124416
528,GGT6,2.2417245
529,SPDYE2,-2.2024703
530,IPO9,-3.8555777
531,ZNF354C,-4.55905
532,STX17,4.697938
533,POM121,-6.577072
534,VPS37B,-2.8621027
535,PLA2G2C,-2.970367
536,TNFRSF13B,-1.1797795
537,FANCM,-1.5334151
538,AQP5,0.78070575
539,ZNF805,0.0326688
540,ROBO2,3.6030505
541,GNGT1,15.397745
542,CAMK4,-10.077454
543,AK7,7.225556
544,SGK1,-1.4092631
545,ANK3,0.08318715
546,DEGS2,-1.2905545
547,ABCA4,-3.2738063
548,HS6ST3,0.4415334
549,RPL28,-0.25435692
550,NRG1,-5.4745255
551,ETV5,1.9813823
552,SNRNP200,0.13646853
553,GART,-1.9049003
554,CXCL2,-3.7374687
555,CPSF2,-1.2534068
556,FANCC,-1.1600975
557,LMNB1,0.36800912
558,MYLK4,-8.725776
559,SLC22A3,-0.66212344
560,SGMS2,-0.20813768
561,ATP1A4,-6.136633
562,NME7,2.597062
563,KRT40,-0.32354665
564,AP4E1,1.8747976
565,EVC,0.1852589
566,FGF18,-10.3657055
567,DYNC1H1,-0.049887143
568,CRK,-6.741441
569,WNT3,-6.9130206
570,SGCD,0.40720358
571,ATM,1.4581451
572,HHIP,-7.4148903
573,MAVS,-9.572651
574,MAN1A2,1.2691755
575,TNC,-2.0674207
576,B4GALNT1,1.6956979
577,CNOT4,6.161805
578,ATP6V0A4,3.9034185
