,genes,values
307,PIGK,-1.1915987
308,CDH2,-10.164121
309,SLC19A2,-0.785226
310,TNFRSF19,3.3148491
311,MCAT,-3.4809065
312,NRG2,-0.025417069
313,COL20A1,-1.4042845
314,SRSF3,0.5753454
315,UST,-2.251847
316,HCLS1,6.8740983
317,PIK3CB,-3.3010254
318,ATG14,0.17279713
319,ARHGEF4,-0.7887858
320,MRPL17,-0.5739586
321,GTF2H1,-7.77173
322,ACSM2A,-3.4112442
323,DCTD,-0.5444253
324,SIN3A,5.0185347
325,HARS2,0.106897905
326,LDHAL6A,5.0039535
327,PDE4B,-0.2647761
328,AICDA,-0.49445945
329,CCR8,-3.331163
330,ASMT,-1.5182172
331,RANBP3,2.1917162
332,HTR1E,5.4024696
333,CANX,-5.3294606
334,CYP2E1,9.442939
335,MYLK3,7.5653567
336,MC5R,0.051166136
337,NPFFR1,0.14875413
338,DGKA,-3.4951577
339,HCAR2,0.54579335
340,TAP1,1.9143325
341,OR2H2,0.73576874
342,RGS9,-0.3808288
343,NRXN1,-0.88361335
344,POPDC2,-10.092728
345,ZNF383,-0.83631843
346,PALB2,-3.713429
347,ZNF768,-0.9682218
348,DLL3,-2.620687
349,SORT1,5.5671554
350,TBK1,5.1752586
351,FANCM,2.3961036
352,BRCC3,-1.0078472
353,TM7SF2,1.0528296
354,BLNK,1.496974
355,KCNJ12,0.8502383
356,FANCI,2.0313563
357,SEC61A1,3.630754
358,CYP4F3,1.4028661
359,AVPR2,3.4133794
360,SSH3,-2.47292
361,RPL10A,-2.2661777
362,DPYSL5,2.7770622
363,SRRM1,1.2132643
364,MYLK2,-2.6211712
365,NDUFS7,3.3134565
366,RIF1,-4.002555
367,WEE1,-4.835888
368,MAP3K12,2.14674
369,GFAP,0.9871591
370,RBSN,-0.5473888
371,TST,-18.010027
372,DUOX2,-2.3832731
373,CHPT1,-3.7179086
374,CTU2,3.675454
375,ZNF415,-0.13318893
376,UNC5A,3.8094225
377,GGA2,2.2040431
378,TAB3,-0.47002512
379,BDNF,-2.1116896
380,DDX3X,-7.565713
381,SLC33A1,0.97834504
382,AMPH,6.6115007
383,LAMC3,2.6370127
384,CD81,1.2243809
385,EPHB1,4.0687613
386,HPSE,-0.836259
387,VSIG4,-1.3394923
388,GSTM3,-4.403816
389,TARDBP,2.5919774
390,CAB39,-4.4224443
391,ICA1,-0.46566096
392,B2M,1.4539591
393,ANAPC11,-2.366725
394,MPO,2.3762474
395,KRT23,-1.1746455
396,HNRNPA3,-0.13809006
397,MOCS2,1.736791
398,CD99,-1.7501673
399,GYS1,-11.211847
400,KNG1,2.7186723
401,ITGAE,-0.47754133
402,COL6A5,-2.7893667
403,ABCG1,6.0476894
404,UBA1,-0.05905043
405,GNA15,-1.9545655
406,IST1,1.1409351
