,genes,values
759,IPO5,-0.39319068
760,ELK1,1.6861455
761,YWHAQ,8.3823595
762,SSH2,-0.3995552
763,ANTXR1,-0.5169786
764,POLR3G,-1.4971237
765,POLR1C,-2.2085962
766,GCNT2,-1.0600076
767,CCNB2,-0.07195539
768,CACYBP,-0.15562484
769,CIR1,-4.202103
770,UBE2QL1,-1.0988383
771,NDUFA6,-0.7065258
772,KAT2A,0.27536085
773,COL13A1,0.3098175
774,EDA,-2.5229104
775,RPL27A,-1.174076
776,ZNF571,5.5864077
777,FABP6,0.17141677
778,CYP8B1,-1.6683587
779,ZFYVE16,1.6647841
780,MYH11,2.8530462
781,ZNF669,4.275299
782,GSTM1,-4.2061477
783,ELOVL3,0.997058
784,THOC5,-0.23486272
785,ZNF667,-1.9015086
786,ZNF133,3.988465
787,COL4A5,6.4113517
788,CACNA2D4,-1.349063
789,CDK6,-3.4232147
790,CCNE1,-0.0217583
791,SLC1A7,-2.2582726
792,THBS2,-0.04823886
793,CAMK2B,2.8270862
794,RFC4,1.3343489
795,NMNAT3,1.1715407
796,VPS35,2.1313221
797,EME1,1.0595788
798,RAD54B,1.1990943
799,POLR3K,6.512182
800,LAMB1,0.95732415
801,ZNF233,1.2160295
802,ZNF573,-0.30600506
803,TK1,-0.7946122
804,SLCO1B3,-1.0096815
805,TP73,-3.1820524
806,DCTN5,0.21435802
807,IL23A,-0.7688729
808,ORC6,0.72558564
809,EIF4E,-3.879054
810,MMP1,-0.7244301
811,EFTUD2,0.6847459
812,IBSP,-0.9561894
813,ZNF354B,0.5061633
814,GUCY2C,-2.742058
815,ORC1,-0.05270812
816,LFNG,-0.2525805
817,BLM,-0.87407935
818,NR4A1,2.0408163
819,RBL1,2.199581
820,TNPO1,-0.63179207
821,COL11A2,-0.08302993
822,VAMP4,-0.92119116
823,PPP1R14A,-0.20113796
824,PPP1R1B,-0.83216244
825,CCDC6,-0.92250615
826,CCR5,-0.8011756
827,ACADL,1.7851149
828,KPNA2,0.040734608
829,ZNF780A,4.2212663
830,AMH,0.5409604
831,HGF,3.8637888
832,CKS2,-0.75319403
833,MRPS10,0.02053124
834,ANGPT2,-4.156184
835,CPLX2,-2.1453125
836,NEFH,0.31862977
837,ESR1,-1.3542529
838,E2F2,-1.5523192
839,C4A,0.08918916
840,PSMD11,-6.7826996
841,GNA14,0.47065306
842,LEFTY1,-0.036194775
843,AP1M2,0.61401474
844,HMMR,0.9263607
845,IPO9,0.7394557
846,SAE1,-0.80780417
847,CXCL12,2.2525427
848,FCGR2C,-0.7663779
849,UBXN2A,-0.25037608
850,MAD2L1,-2.1411874
