,genes,values
733,WDR7,-0.00070353545
734,TREX1,-4.8000875
735,FGF8,-2.4765038
736,USE1,-0.026717313
737,ZNF619,-0.053073764
738,GNAO1,2.194606
739,CACNG3,-0.81137335
740,EXTL2,1.1098468
741,OR51E2,-2.5442717
742,PLK4,0.80617183
743,AACS,-2.7133443
744,SMG7,1.4132156
745,CACNA1H,0.11248496
746,TRH,1.0055931
747,ZNF701,-1.8304323
748,MICALL2,1.2830515
749,KRT25,2.7041945
750,PPP3R2,-3.5201428
751,WASF2,-2.366914
752,CSF1,-5.9325833
753,SHMT1,-3.7054522
754,TAB3,-0.20926249
755,COL10A1,0.7958361
756,ADRA2C,7.6506195
757,MAPK8IP3,-0.08150924
758,SLC45A3,0.19226378
759,BNIP1,0.15660445
760,OR5AU1,-0.0002481064
761,MTMR14,-0.97046256
762,CXCR4,-3.382075
763,RPS6KA4,-0.27309468
764,LILRB5,-4.3976345
765,ARAP2,1.5094162
766,OR6K2,-2.335372
767,MGAT2,0.028421223
768,PFAS,1.3145083
769,RBBP8,-2.2541642
770,LIMK2,1.6603407
771,PER3,-1.3861749
772,ABCC4,-4.1822405
773,B3GALNT1,-2.0617514
774,ACAT1,-2.5450869
775,FLOT2,-1.7147144
776,OR6C68,1.7370677
777,FLT1,-1.8595484
778,BMP7,1.8394271
779,MTTP,-0.42857695
780,SPDYE5,-2.6484804
781,ENGASE,0.8074834
782,SEMA4D,-1.0250887
783,PPP2R5B,-0.2032574
784,SEMA4A,-0.8575377
785,NOP10,3.0358667
786,ASAP1,1.3716855
787,OR52B2,3.6740606
788,FIG4,-2.6882398
789,GALNT8,4.9683857
790,RPS6KA6,-0.22674936
791,EPN2,-0.3482029
792,ACVR1B,-2.154526
793,ACO1,4.105952
794,KIR3DL2,-3.0759773
795,GABRE,0.7395956
796,FZD10,6.8340774
797,KCNJ4,1.1675661
798,DNAH7,-0.008848769
799,NDUFA10,2.5749602
800,ZNF99,3.5837348
801,DHTKD1,0.9837223
802,ZFP82,3.463528
803,ASIC3,-1.183395
804,WBP11,-0.88356644
805,SLC44A2,-1.9655267
806,VAV1,-3.5299697
807,TAS2R38,-0.2279517
808,IQGAP2,-0.07485448
809,GSTP1,6.998841
810,PIP4K2B,0.05136822
811,ALDH3A1,0.6624224
812,NGFR,2.8163667
813,PLA2G7,0.26342645
814,KCNJ8,3.4436748
815,MC3R,-1.5327071
816,NFYC,1.7453971
817,NLRC4,-0.87602735
818,ETS2,-2.7458644
819,U2AF1L4,0.83291936
820,ATXN2,0.0682476
821,PAPOLB,1.3275588
822,ARSG,-0.017583529
823,CD9,4.458977
824,HMGCR,-0.39671862
825,UNC5B,0.42948136
826,ACADVL,0.37763494
827,MYO1C,-0.2751208
828,IL11RA,3.7602003
